"고스트레스자 판단 기준
조건 1. 심신 스트레스 반응 (B 섹션) 77점 이상인 경우
조건 2. 스트레스 요인 (A 섹션) + 지원 부족 (C 섹션) 합산 76점 이상 AND 심신 반응 (B 섹션) 63점 이상인 경우",,,,,,,,
B,25,심장이 두근거리거나 숨이 차다,1,2,3,4,①전혀 없었다 ②없지는 않다 ③가끔 그렇다 ④항상 그렇다,
B,26,위장 상태가 좋지 않다,1,2,3,4,①전혀 없었다 ②없지는 않다 ③가끔 그렇다 ④항상 그렇다,
B,27,식욕이 없다,1,2,3,4,①전혀 없었다 ②없지는 않다 ③가끔 그렇다 ④항상 그렇다,
B,28,변비 또는 설사를 한다,1,2,3,4,①전혀 없었다 ②없지는 않다 ③가끔 그렇다 ④항상 그렇다,
B,29,잘 잠들지 못한다,1,2,3,4,①전혀 없었다 ②없지는 않다 ③가끔 그렇다 ④항상 그렇다,
C,1,상사와 편하게 이야기할 수 있다,1,2,3,4,①매우 ②꽤나 ③다소 ④전혀 없다,
C,2,직장 동료와 편하게 이야기할 수 있다,1,2,3,4,①매우 ②꽤나 ③다소 ④전혀 없다,
C,3,배우자·가족·친구 등과 편하게 이야기할 수 있다,1,2,3,4,①매우 ②꽤나 ③다소 ④전혀 없다,
C,4,상사는 내가 곤란할 때 어느 정도 도움이 된다,1,2,3,4,①매우 ②꽤나 ③다소 ④전혀 없다,
C,5,직장 동료는 내가 곤란할 때 어느 정도 도움이 된다,1,2,3,4,①매우 ②꽤나 ③다소 ④전혀 없다,
C,6,배우자·가족·친구 등은 내가 곤란할 때 어느 정도 도움이 된다,1,2,3,4,①매우 ②꽤나 ③다소 ④전혀 없다,
C,7,상사는 개인적인 고민을 상담하면 어느 정도 들어준다,1,2,3,4,①매우 ②꽤나 ③다소 ④전혀 없다,
C,8,직장 동료는 개인적인 고민을 상담하면 어느 정도 들어준다,1,2,3,4,①매우 ②꽤나 ③다소 ④전혀 없다,
C,9,배우자·가족·친구 등은 개인적인 고민을 상담하면 어느 정도 들어준다,1,2,3,4,①매우 ②꽤나 ③다소 ④전혀 없다,
D,1,일에 만족한다,1,2,3,4,①만족 ②그런대로 만족 ③어느 정도 불만족 ④불만족,
D,2,가정생활에 만족한다,1,2,3,4,①만족 ②그런대로 만족 ③어느 정도 불만족 ④불만족,
